County,State,State2,2016,2012,2008
Woodruff County, Arkansas,Arkansas,8.91%,4.21%,7.46%
Conejos County, Colorado,Colorado,3.56%,9.22%,12.93%
Huerfano County, Colorado,Colorado,6.61%,8.27%,11.23%
Las Animas County, Colorado,Colorado,15.60%,2.65%,7.04%
Pueblo County, Colorado,Colorado,0.50%,13.99%,14.97%
Windham County, Connecticut,Connecticut,7.78%,13.28%,14.68%
Kent County, Delaware,Delaware,4.87%,4.94%,9.81%
Jefferson County, Florida,Florida,5.06%,1.75%,3.66%
Monroe County, Florida,Florida,6.82%,0.44%,4.90%
Pinellas County, Florida,Florida,1.11%,5.65%,8.25%
St. Lucie County, Florida,Florida,2.40%,7.86%,12.12%
Baker County, Georgia,Georgia,8.68%,0.57%,1.07%
Dooly County, Georgia,Georgia,2.05%,6.98%,3.53%
Peach County, Georgia,Georgia,2.91%,7.48%,6.75%
Quitman County, Georgia,Georgia,10.92%,9.04%,7.90%
Twiggs County, Georgia,Georgia,1.58%,8.64%,6.97%
Alexander County, Illinois,Illinois,8.30%,13.65%,12.62%
Carroll County, Illinois,Illinois,26.69%,1.49%,4.81%
Fulton County, Illinois,Illinois,14.93%,11.04%,21.33%
Henderson County, Illinois,Illinois,28.43%,12.25%,17.67%
Henry County, Illinois,Illinois,20.99%,3.08%,7.74%
Jo Daviess County, Illinois,Illinois,14.64%,1.16%,10.49%
Knox County, Illinois,Illinois,2.91%,17.37%,19.89%
Mercer County, Illinois,Illinois,20.36%,7.39%,11.91%
Putnam County, Illinois,Illinois,19.92%,1.82%,15.64%
Warren County, Illinois,Illinois,16.50%,5.47%,8.08%
Whiteside County, Illinois,Illinois,6.18%,17.02%,17.56%
Delaware County, Indiana,Indiana,13.43%,3.12%,14.98%
LaPorte County, Indiana,Indiana,6.33%,12.57%,22.04%
Perry County, Indiana,Indiana,18.55%,11.59%,22.84%
Porter County, Indiana,Indiana,6.59%,3.90%,7.20%
Vigo County, Indiana,Indiana,14.97%,0.86%,15.83%
Allamakee County, Iowa,Iowa,24.15%,4.17%,14.25%
Boone County, Iowa,Iowa,13.69%,6.64%,7.63%
Bremer County, Iowa,Iowa,13.68%,2.68%,9.31%
Buchanan County, Iowa,Iowa,15.02%,13.87%,18.48%
Cedar County, Iowa,Iowa,17.78%,4.59%,9.64%
Cerro Gordo County, Iowa,Iowa,7.66%,13.38%,20.83%
