State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
AL,Autauga,1001,1986,.,100,95.34,70.97
AL,Autauga,1001,1987,-2.42,97.58,93.04,69.25
AL,Autauga,1001,1988,3.61,101.11,96.4,71.75
AL,Autauga,1001,1989,4.18,105.34,100.43,74.75
AL,Autauga,1001,1990,-0.43,104.88,100,74.43
AL,Autauga,1001,1991,2.76,107.78,102.76,76.49
AL,Autauga,1001,1992,2.81,110.81,105.65,78.63
AL,Autauga,1001,1993,3.38,114.55,109.22,81.29
AL,Autauga,1001,1994,4.47,119.67,114.1,84.93
AL,Autauga,1001,1995,3.31,123.64,117.88,87.74
AL,Autauga,1001,1996,2.66,126.93,121.02,90.07
AL,Autauga,1001,1997,3.29,131.1,125,93.04
AL,Autauga,1001,1998,3.41,135.57,129.26,96.21
AL,Autauga,1001,1999,1.49,137.59,131.19,97.64
AL,Autauga,1001,2000,2.41,140.91,134.35,100
AL,Autauga,1001,2001,3.4,145.7,138.92,103.4
AL,Autauga,1001,2002,2.45,149.27,142.32,105.93
AL,Autauga,1001,2003,1.77,151.91,144.84,107.8
AL,Autauga,1001,2004,2.43,155.6,148.36,110.42
AL,Autauga,1001,2005,7.13,166.7,158.94,118.3
AL,Autauga,1001,2006,7.62,179.39,171.04,127.31
AL,Autauga,1001,2007,4.49,187.44,178.72,133.02
AL,Autauga,1001,2008,-0.1,187.25,178.53,132.88
AL,Autauga,1001,2009,-2.17,183.19,174.66,130
AL,Autauga,1001,2010,-2.91,177.85,169.57,126.21
AL,Autauga,1001,2011,-2.57,173.28,165.22,122.97
AL,Autauga,1001,2012,-3.05,168,160.18,119.22
AL,Autauga,1001,2013,0.45,168.76,160.9,119.76
AL,Autauga,1001,2014,0.84,170.17,162.25,120.76
AL,Autauga,1001,2015,0.73,171.42,163.44,121.65
AL,Autauga,1001,2016,1.59,174.14,166.03,123.58
AL,Baldwin,1003,1977,.,100,68.82,41.7
AL,Baldwin,1003,1978,1.88,101.88,70.12,42.49
AL,Baldwin,1003,1979,3.2,105.15,72.36,43.85
AL,Baldwin,1003,1980,23.09,129.43,89.07,53.98
AL,Baldwin,1003,1981,-14.84,110.22,75.85,45.96
AL,Baldwin,1003,1982,4.21,114.85,79.04,47.9
AL,Baldwin,1003,1983,21.54,139.59,96.07,58.22
AL,Baldwin,1003,1984,-2.05,136.74,94.1,57.02
AL,Baldwin,1003,1985,0.71,137.7,94.77,57.43
AL,Baldwin,1003,1986,-0.71,136.72,94.09,57.02
AL,Baldwin,1003,1987,0.3,137.13,94.37,57.19
AL,Baldwin,1003,1988,1.12,138.67,95.44,57.83
AL,Baldwin,1003,1989,2.49,142.12,97.81,59.27
AL,Baldwin,1003,1990,2.24,145.3,100,60.6
AL,Baldwin,1003,1991,3.64,150.59,103.64,62.8
AL,Baldwin,1003,1992,4.3,157.06,108.09,65.5
AL,Baldwin,1003,1993,8.06,169.72,116.8,70.78
AL,Baldwin,1003,1994,6.8,181.26,124.75,75.59
AL,Baldwin,1003,1995,8.28,196.27,135.07,81.85
AL,Baldwin,1003,1996,3.26,202.67,139.48,84.52
AL,Baldwin,1003,1997,6.46,215.76,148.49,89.98
AL,Baldwin,1003,1998,4.46,225.38,155.11,93.99
AL,Baldwin,1003,1999,2.75,231.59,159.38,96.58
AL,Baldwin,1003,2000,3.54,239.78,165.02,100
AL,Baldwin,1003,2001,4.51,250.6,172.47,104.51
AL,Baldwin,1003,2002,1.52,254.42,175.09,106.1
AL,Baldwin,1003,2003,3.3,262.81,180.87,109.6
AL,Baldwin,1003,2004,4.35,274.25,188.74,114.37
AL,Baldwin,1003,2005,16.18,318.62,219.28,132.88
AL,Baldwin,1003,2006,16.68,371.76,255.85,155.04
AL,Baldwin,1003,2007,2.13,379.67,261.29,158.34
AL,Baldwin,1003,2008,-4.38,363.03,249.84,151.4
AL,Baldwin,1003,2009,-7.77,334.83,230.44,139.64
AL,Baldwin,1003,2010,-12.47,293.09,201.71,122.23
AL,Baldwin,1003,2011,-6.08,275.26,189.44,114.79
AL,Baldwin,1003,2012,0.19,275.77,189.79,115.01
AL,Baldwin,1003,2013,1.16,278.96,191.98,116.34
AL,Baldwin,1003,2014,8.68,303.18,208.65,126.44
AL,Baldwin,1003,2015,3.64,314.22,216.25,131.04
AL,Baldwin,1003,2016,5.13,330.35,227.35,137.77
AL,Barbour,1005,1985,.,100,89.35,55.91
AL,Barbour,1005,1986,5.96,105.96,94.68,59.25
AL,Barbour,1005,1987,-0.97,104.94,93.76,58.67
