County-equivalent,State,Per capita income 2008,2012,2016
Abbeville,South Carolina,18134,"29,202","31,374"
Acadia,Louisiana,19910,"36,175","33,793"
Accomack,Virginia,22703,"37,221","39,596"
Ada,Idaho,27452,"44,392","47,046"
Adair,Iowa,25564,"43,371","44,765"
Adair,Missouri,19258,"25,634","25,994"
Adair,Kentucky,17371,"29,445","30,177"
Adair,Oklahoma,15116,"25,910","27,245"
Adams,North Dakota,31502,"35,824","38,378"
Adams,Pennsylvania,27284,"34,575","37,301"
Adams,Nebraska,25571,"40,884","42,220"
Adams,Illinois,24217,"34,647","35,288"
Adams,Colorado,24195,"53,409","60,450"
Adams,Iowa,23707,"34,194","33,732"
Adams,Wisconsin,22196,"43,315","44,216"
Adams,Idaho,21555,"46,932","46,318"
Adams,Indiana,20160,"28,409","30,515"
Adams,Ohio,18235,"43,432","45,853"
Adams,Mississippi,17544,"39,589","44,393"
Adams,Washington,16940,"33,474","35,963"
Addison,Vermont,28722,"44,636","46,092"
Aiken,South Carolina,24769,"36,547","39,030"
Aitkin,Minnesota,24939,"35,699","37,251"
Alachua,Florida,24857,"38,844","41,008"
Alamance,North Carolina,23166,"34,926","36,246"
Alameda,California,35763,"58,175","65,884"
Alamosa,Colorado,19487,"32,480","35,144"
Albany,New York,32328,"54,156","56,948"
Albany,Wyoming,24758,"37,875","38,898"
Albemarle,Virginia,37239,"58,090","60,964"
Alcona,Michigan,22719,"33,536","35,639"
Alcorn,Mississippi,19145,"29,613","31,240"
Aleutians East,Alaska,26535,"41,051","60,284"
Aleutians West Census Area,Alaska,31790,"52,392","56,105"
Alexander,North Carolina,20440,"29,491","31,951"
Alexander,Illinois,13619,"32,161","34,041"
Alexandria City,Virginia,54608,"80,506","83,167"
Alfalfa,Oklahoma,22488,"51,534","43,791"
Alger,Michigan,19717,"27,864","30,483"
Allamakee,Iowa,24926,"40,639","41,262"
Allegan,Michigan,24140,"37,841","40,389"
Allegany,Maryland,21211,"35,935","38,372"
Allegany,New York,20978,"32,773","34,021"
Alleghany,Virginia,24162,"32,270","34,655"
